# Narayanan et al. (2018) median dust attenuation curves at z = 0 to 6.
#
# Source     https://bitbucket.org/desika/narayanan_attenuation_laws/
#            file median_curve_redshifts.dat, at commit cc78a26.
# Retrieved  2026-09-07
# Paper      D. Narayanan, C. Conroy, R. Dave, B. D. Johnson and G. Popping,
#            "A Theory for the Variation of Dust Attenuation Laws in Galaxies",
#            ApJ, 869, 70 (2018). arXiv:1805.06905.
#            https://doi.org/10.3847/1538-4357/aaed25
#            These are the best-fit median attenuation curves of the paper's
#            Figure 9, from the 25 Mpc MUFASA cosmological hydrodynamic
#            simulation post-processed with dust radiative transfer.
#
# Repackaged, with attribution: every 5th row of the upstream file, verbatim
# and at full precision (917 of its 4585 rows). The upstream file repeats three
# abscissae near x = 5.93 to 5.98, where two overlapping segments were joined
# with a 1 to 3 percent step; the stride skips the repeat, so x here is
# strictly decreasing.
#
# Columns    x  z0  z1  z2  z3  z4  z5  z6
#   x        inverse wavelength 1 / lambda [1/micron], 9.9502 down to 1.0091,
#            that is lambda = 1005 to 9910 Angstrom.
#   zN       median A(lambda) at redshift N [dimensionless], on the paper's
#            normalization by the 3000 Angstrom optical depth tau_3000
#            (Section 5.1). Measured on these columns: the seven curves pass
#            through unity to within 1.2 percent at 3000 Angstrom (0.9929 to
#            1.0120) and their spread across z is smallest there. They are not
#            on A_V = 1, which is why the Kriek and Conroy (2013) fit in
#            scripts/fit_narayanan2018_medians.py carries a free normalization.
#
# x z0 z1 z2 z3 z4 z5 z6
4.3763676148796495 1.902104501718348 1.4077446259387338 1.805760591872353 1.8423901683979849 1.801734213294067 1.309858650841419 1.3347537881622042
4.282655246252678 1.7568245024189062 1.3685428745224881 1.6775050355869643 1.7005768172532498 1.6700580264848306 1.269512105357987 1.288170503864286
4.1928721174004195 1.6254016066783101 1.3280928065839224 1.5627458491432875 1.5747248831382328 1.5512620971114444 1.2310934314582767 1.2447345775436527
4.106776180698152 1.5147696157994353 1.2889289928651808 1.4668702605200992 1.4706172790597423 1.4517222246350456 1.197006489607573 1.2069591377493931
4.024144869215292 1.423854380531997 1.2523538271296737 1.3883621918835864 1.3862389158612936 1.370325654794168 1.1675268094425135 1.174835618200294
3.9603960396039617 1.3629589315450246 1.2252731978027342 1.3357871004000055 1.3302512160337971 1.3160374113286346 1.1468844459862675 1.1526186259756057
3.8834951456310685 1.2985627005329727 1.1941353432219313 1.280068041464671 1.2714374281245906 1.2588456903940248 1.1241163644723868 1.1283513629001305
3.8095238095238106 1.2443174449290284 1.1657807827747972 1.2329266478476049 1.2221452145385014 1.210846954786748 1.1040525748364014 1.1071495185827729
3.738317757009347 1.197821163827414 1.1398761627792515 1.192285821123643 1.1800240784093654 1.1698302798311526 1.0860997551012972 1.0883044138352629
3.6697247706422025 1.157284799606928 1.1160791781753188 1.156620308916544 1.1433591556311975 1.1341565355608583 1.069796339107997 1.0712793782557712
3.603603603603605 1.1213894968027525 1.094077137585815 1.124817367428559 1.110905664600092 1.1026219694650674 1.0547916257457726 1.0556744757264522
3.5398230088495586 1.0891615204978218 1.073599958708362 1.0960618861682974 1.081755554079689 1.0743407852601317 1.040821075728639 1.0411923997798433
3.4782608695652186 1.059876534413641 1.0544210148926256 1.0697512085175656 1.0552398645600496 1.0486561086126962 1.0276849287046723 1.0276111676810609
3.389830508474576 1.0203127548372117 1.0276862089873824 1.0339136673555223 1.0193490142070405 1.013954193065507 1.009223444698557 1.008574267023826
3.2786885245901645 0.9737770556949263 0.9950995242962849 0.9913135919369986 0.9769909075527692 0.9730885473393279 0.9863867701252276 0.985093219316343
3.174603174603175 0.9343326181002457 0.9516519506829472 0.9446348289727593 0.9465362799144186 0.9483353953533702 0.9670574113096658 0.9687942903016641
3.076923076923077 0.8761138894272247 0.9137437459083876 0.9017309781202423 0.9082707452251916 0.9162487260819915 0.9608340105537095 0.9531359657675268
2.9850746268656723 0.8324815715569721 0.8711155554110226 0.8585916217545321 0.8711181111371961 0.8805186057436971 0.9333369084361625 0.9286322195581423
2.898550724637682 0.7955427755111868 0.8401882706276674 0.8209479662666067 0.8318356785714294 0.8438680000131904 0.9050261066987596 0.9015250507570359
2.8169014084507045 0.7541144432240886 0.8144018431888129 0.7900539694203013 0.7995693010474086 0.8160103794282423 0.896518791438622 0.8874778967031988
2.774981290382395 0.7317694577719639 0.7991298865046349 0.7746427544297178 0.7853189247422169 0.8032809891424662 0.8952915333318214 0.8828555786596788
2.7715194558864322 0.729969739223898 0.7977516541231008 0.7733436430173183 0.7841841654871748 0.802211832170806 0.8951073759817518 0.8824414886206091
2.768066324640701 0.7281868366088372 0.7963567791702806 0.7720413391452087 0.7830560027919238 0.8011379652539437 0.8948991140412896 0.8820156757370099
2.7646217110055775 0.726421682566363 0.7949449608889653 0.7707353290697755 0.7819337375432892 0.800058397162942 0.8946644270813962 0.8815765521109326
