code,id,logmstar,logmstar_lo,logmstar_hi,logsfr,logsfr_lo,logsfr_hi,mass_definition_note,sfr_timescale_note
BAGPIPES,2921,10.056665272353436,9.991422593189474,10.124136059585485,1.0811550840927822,0.9796438859410874,1.2055864479985843,survived stellar mass,instantaneous
BAGPIPES,2976,9.775954149106513,9.675795571126196,9.847439029143557,1.1975258930740431,1.1017918725328975,1.2902853289344027,survived stellar mass,instantaneous
BAGPIPES,3315,9.077704940684306,8.999280679420561,9.170299080757713,0.29842012082531233,0.19075290262801822,0.44047578030278967,survived stellar mass,instantaneous
BAGPIPES,3336,9.41179594936684,9.290543832751142,9.483842538462776,0.06370311015923538,-0.027329538853742716,0.2023643286420386,survived stellar mass,instantaneous
BAGPIPES,3371,10.193385377754783,10.124508985986497,10.26137895681252,0.18161366064033305,-0.1511974817668915,0.3784916410720855,survived stellar mass,instantaneous
BAGPIPES,3404,10.107723968394954,10.013673234453364,10.178698195314972,1.1254782186287038,1.05001557475122,1.2566971485965224,survived stellar mass,instantaneous
BAGPIPES,3412,9.381938432939203,9.221641692219102,9.506180165576083,0.27014917964058976,0.12126333017784245,0.5279434349532166,survived stellar mass,instantaneous
BAGPIPES,3432,9.077655674108792,8.986650510824862,9.161398993618617,0.07583480587961106,-0.0319131874255745,0.21591164758004305,survived stellar mass,instantaneous
BAGPIPES,3451,9.099389884061537,8.99972984699426,9.184610581022657,-0.00908797675575172,-0.08117679389542894,0.11432330412402697,survived stellar mass,instantaneous
BAGPIPES,3458,9.49084555846083,9.403637485400974,9.569397522888117,0.5506449551731283,0.47061574501881126,0.6498059192725839,survived stellar mass,instantaneous
BAGPIPES,3591,9.379121489513043,9.271603150176457,9.44100116403885,-0.002236603738055323,-0.0731615589997786,0.09898301111686288,survived stellar mass,instantaneous
BAGPIPES,3631,9.376780190491756,9.27649936557853,9.450368983503195,0.2977756267100327,0.21172655985069777,0.44522057727099285,survived stellar mass,instantaneous
BAGPIPES,3647,11.089860088801869,11.014915229592711,11.16633911112429,-24.64129485223027,-112.00573135418553,-4.390224175470226,survived stellar mass,instantaneous
BAGPIPES,3653,9.337328116776083,9.23258811238768,9.428340136234931,0.15066936386117585,0.0687735473357727,0.2954318555037627,survived stellar mass,instantaneous
BAGPIPES,3683,10.133055966243802,9.967547039341591,10.253400070533516,1.2854475301068782,1.1496922891789922,1.5210761245732636,survived stellar mass,instantaneous
BAGPIPES,3707,9.295447876728591,9.220838403556376,9.359791336746003,0.3175642005236398,0.2154263437069352,0.4491679798015918,survived stellar mass,instantaneous
BAGPIPES,3767,10.447629761006349,10.369283307461457,10.548627691446194,-13.136581834208576,-42.457178840491146,-2.44582762751587,survived stellar mass,instantaneous
BAGPIPES,3811,9.141834097781484,9.006265730104523,9.257448069183976,-0.03200339565796291,-0.14717283509773835,0.15603311142946333,survived stellar mass,instantaneous
BAGPIPES,3871,8.973834022110506,8.868819516428491,9.058087462322174,0.20557494174119542,0.1012692128845976,0.32685493479252,survived stellar mass,instantaneous
BAGPIPES,4056,8.931766696386426,8.829615729984372,9.022632691414335,0.16274047182904414,0.03535130699040136,0.3184159280658658,survived stellar mass,instantaneous
